year,office,district,total_vote,democratic,republican
2000,congress,1,266791,88885,177612
2000,congress,2,318380,163534,154632
2000,congress,3,272212,173505,97741
2000,congress,4,269265,163622,101811
2000,congress,5,223852,173893,49296
2000,congress,6,275605,96125,179205
2000,congress,7,273460,173007,100264
2000,congress,8,283294,71575,211388
2000,congress,9,323455,83720,239498
2000,president,0,2598607,1242987,1237279
2000,senate,0,2540083,1563238,940744
2002,congress,1,208613,63895,140176
2002,congress,2,247410,163313,83694
2002,congress,3,208581,131038,69955
2002,congress,4,141367,122031,0
2002,congress,5,222012,0,191224
2002,congress,6,171161,0,169834
2002,congress,7,227955,146364,81518
2002,congress,8,210447,50284,152745
2002,governor,0,1775349,800515,734779
2004,congress,1,356976,116250,233372
2004,congress,2,397724,251637,145810
2004,congress,3,363008,204856,157866
2004,congress,4,305142,212382,85928
2004,congress,5,407291,129384,271153
2004,congress,6,355995,107209,238620
2004,congress,7,281752,241306,0
2004,congress,8,353725,105513,248070
2004,president,0,2997007,1489504,1478120
2004,senate,0,2949743,1632697,1301183
2006,congress,1,257596,95761,161320
2006,congress,2,304688,191414,113015
2006,congress,3,252087,163322,88523
2006,congress,4,191742,136735,54486
2006,congress,5,315180,112451,194669
2006,congress,6,203557,0,201367
2006,congress,7,260428,161903,91069
2006,congress,8,278135,141570,135622
2006,governor,0,2161700,1139115,979427
2006,senate,0,2138297,1439214,630299
2008,congress,1,361107,125268,231009
2008,congress,2,400841,277914,122513
2008,congress,3,356400,225208,122760
2008,congress,4,254179,222728,0
2008,congress,5,345899,0,275271
2008,congress,6,348264,126090,221875
2008,congress,7,349837,212666,136938
2008,congress,8,358647,193662,164621
2008,president,0,2983417,1677211,1262393
2010,congress,1,263627,79363,179819
2010,congress,2,309460,191164,118099
2010,congress,3,251340,126380,116838
2010,congress,4,208103,143559,61543
2010,congress,5,331258,90634,229642
2010,congress,6,259367,75926,183271
2010,congress,7,254389,113018,132551
2010,congress,8,262938,118646,143998
2010,governor,0,2160832,1004303,1128941
2010,senate,0,2171331,1020958,1125999
2012,congress,1,365058,158414,200423
2012,congress,2,390898,265422,124683
2012,congress,3,339764,217712,121713
2012,congress,4,325788,235257,80787
2012,congress,5,369664,118478,250335
2012,congress,6,359745,135921,223460
2012,congress,7,359669,157524,201720
2012,congress,8,355464,156287,198874
2012,governor,0,2516065,1164480,1335585
2012,president,0,3068434,1620985,1407966
2012,senate,0,3009411,1547104,1380126
2014,congress,1,288170,105552,182316
2014,congress,2,328847,224920,103619
2014,congress,3,275161,155368,119540
2014,congress,4,254892,179045,68490
2014,congress,5,332826,101190,231160
2014,congress,6,299033,122212,169767
2014,congress,7,286603,112949,169891
2014,congress,8,290048,101345,188553
2014,governor,0,2410314,1122913,1259706
2016,congress,1,354245,107003,230072
2016,congress,2,398060,273537,124044
2016,congress,3,260370,257401,169
2016,congress,4,286909,220181,0
2016,congress,5,390844,114477,260706
2016,congress,6,357183,133072,204147
2016,congress,7,362271,138643,223418
2016,congress,8,363780,135682,227892
2016,president,0,2976150,1382536,1405284
2016,senate,0,2948741,1380335,1479471
2018,congress,1,325317,137508,177492
2018,congress,2,317295,309116,29
2018,congress,3,314989,187888,126980
2018,congress,4,273087,206487,59091
2018,congress,5,364288,138385,225619
2018,congress,6,325065,144536,180311
2018,congress,7,322840,124307,194061
2018,congress,8,328774,119265,209410
2018,governor,0,2673308,1324307,1295080
2018,senate,0,2660763,1472914,1184885
2020,congress,1,401754,163170,238271
2020,congress,2,457205,318523,138306
2020,congress,3,389618,199870,189524
2020,congress,4,311697,232668,70769
2020,congress,5,441599,175902,265434
2020,congress,6,403333,164239,238874
2020,congress,7,415007,162741,252048
2020,congress,8,417838,149558,268173
2020,president,0,3298041,1630866,1610184
2022,congress,1,300867,135825,162610
2022,congress,2,378537,268740,101890
2022,congress,3,317922,152977,164743
2022,congress,4,255012,191955,57660
2022,congress,5,378523,134581,243741
2022,congress,6,251999,0,239231
2022,congress,7,338268,128877,209224
2022,congress,8,310196,0,223981
2022,governor,0,2656490,1358774,1268535
2022,senate,0,2652477,1310467,1337185
